name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Новое,54.091621,66.53981,58,164.0,62.79,43.0,51.6,63.6,111.7,79.4
Кайранколь,54.032894,66.369087,653,165.0,69.36,32.0,49.2,64.4,111.6,79.9
Комсомольское,53.754959,66.402031,419,171.0,52.05,38.0,51.6,66.2,111.9,80.4
Хмельницкое,53.824615,66.061569,449,181.0,75.52,48.0,54.8,65.5,112.2,80.3
2632 км,54.8565139,69.2607726,,139.0,9.43,33.0,53.8,66.4,112.2,82.3
Краснознамённое,54.976139,68.806702,654,134.0,18.46,41.0,57.1,72.1,112.3,83.1
Горьковское,54.1858669,71.9383977,653,116.0,56.82,66.0,13.4,23.8,73.4,62.0
Арыкбалык,52.953907,68.198669,2050,392.0,5.4,66.0,48.2,48.3,104.1,71.5
Петровка,53.6162693,70.4615564,1204,166.0,14.34,24.0,10.7,22.7,61.2,55.4
Чкалово,53.625412,70.43367,2849,167.0,16.1,25.0,10.6,23.7,62.0,56.0
Нижний Бурлук,52.771709,68.169281,584,369.0,12.65,-3.0,44.4,46.5,109.6,71.7
Айсаринское,53.294186,71.898643,235,181.0,25.75,17.0,15.6,33.2,60.7,56.0
Аккудык,53.128433,72.34227,189,174.0,38.11,76.0,15.7,30.3,58.6,55.8
Золотая Нива,52.962009,71.943108,47,195.0,56.68,31.0,13.2,28.3,57.3,55.5
Карсаковка,52.798553,67.771004,101,288.0,1.98,6.0,47.2,47.5,113.7,72.4
Шоптыколь,52.43047,66.749649,415,204.0,0.47,18.0,39.5,47.7,109.4,74.6
Ялты,52.4594302,67.194389,381,274.0,0.74,13.0,41.0,47.0,109.0,71.3
Верхний Бурлук,52.839413,68.307625,217,416.0,14.53,29.0,45.8,47.5,108.8,71.6
Боровское,54.875137,68.8351312,163,131.0,12.81,33.0,54.6,70.5,112.1,83.2
Кондратовка,54.884083,68.808029,561,133.0,14.79,35.0,54.6,70.5,112.1,83.2
Измайловка,54.8892174,68.8511832,13,130.0,12.77,37.0,53.2,69.9,112.0,83.1
Актуесай,53.9165399,72.6553586,605,66.0,2.31,16.0,15.1,25.4,66.1,57.4
Бидайык,54.0295008,72.7368342,850,124.0,11.93,76.0,17.6,25.2,68.2,58.9
Целинное,53.9890371,66.0713217,184,168.0,83.94,35.0,54.8,65.6,111.9,80.7
Караагаш,54.323322,68.899139,176,134.0,21.63,29.0,21.1,29.3,95.4,73.3
Куприяновка,53.3391,66.959091,224,179.0,1.74,40.0,39.5,51.6,114.6,77.4
Акбулак,53.406972,72.4177394,429,128.0,44.43,58.0,16.9,32.0,61.2,56.1
Вознесенка,55.020363,68.95623,122,108.0,9.56,18.0,55.3,70.8,112.1,82.8
Каратал,53.86311,67.467735,465,148.0,2.46,16.0,38.9,53.0,110.0,77.9
Ыскака Ыбыраева,53.933348,67.5846568,463,140.0,2.35,24.0,35.0,49.2,109.0,77.5
Арай,53.752785,67.547203,710,178.0,9.07,44.0,43.3,53.1,110.8,77.6
Ленинградское,53.534927,71.546295,2296,131.0,0.63,10.0,16.3,33.0,61.7,56.2
Краснокаменка,53.731476,68.891396,284,229.0,31.17,15.0,13.2,24.0,77.2,62.5
Саумалколь,53.2940231,68.1060457,11639,306.0,14.35,45.0,34.1,40.7,100.0,70.3
Разгульное,52.396862,66.681755,364,204.0,0.39,12.0,39.5,47.7,109.4,74.6
Белое,55.061985,68.476593,643,138.0,40.47,48.0,62.4,73.9,112.2,82.7
Воскресеновка,54.880726,68.470741,840,142.0,34.22,44.0,57.3,72.8,112.5,83.4
Андреевка,54.515923,68.276672,540,142.0,18.46,35.0,44.7,62.3,107.0,80.9
Кызыласкер,54.426903,67.804146,423,156.0,25.48,46.0,44.3,61.7,106.8,79.6
Леденёво,54.699867,68.538467,520,137.0,17.02,38.0,50.4,67.2,109.8,82.5
Бике,54.614407,67.66539,326,149.0,47.79,39.0,51.5,68.9,110.8,81.7
Новомихайловка,54.654854,68.193947,780,140.0,33.91,38.0,55.6,71.0,110.6,82.7
Берёзовка,55.0142306,69.1710894,435,134.0,2.65,44.0,58.0,70.3,112.1,82.3
Ақсуат,53.612885,66.558327,682,182.0,36.64,49.0,49.7,65.3,115.6,81.4
Есиль,53.58086,66.803749,87,178.0,20.07,45.0,49.1,60.7,114.7,80.1
Антоновка,53.315826,68.434509,1044,285.0,14.19,25.0,25.0,33.8,91.4,67.8
Горное,53.841141,68.541351,195,164.0,17.82,-28.0,13.8,22.6,85.9,66.0
Орлиногорское,53.8115673,68.538841,45,226.0,16.51,34.0,13.8,22.6,85.9,66.0
Белоградовка,53.464417,66.630424,337,192.0,27.11,52.0,50.5,63.5,116.6,81.6
